word,affix_seq
bristly,ly
britisher,er
brittler,er
broadcaster,er
broader,er
broadly,ly
broadmindedly,ly
broadmindedness,ness
broadness,ness
broadwise,ise
broiler,er
brokenly,ly
brokenness,ness
broker,er
brolly,ly
bronchial,al
broodier,er
broodily,ly
broodiness,ness
brother,er
brotherliness,ness
brotherly,er;ly
browner,er
bruckner,er
bruise,ise
bruiser,er
brusquely,ly
brusqueness,ness
brutal,al
brutalization,tion
brutalize,al;ize
brutally,al;ly
brutishly,ly
bubblier,er
bubbly,ly
buccaneer,er
bucolically,al;ly
buffer,er
bugger,er
bugler,er
builder,er
bulgier,er
bulgily,ly
bulginess,ness
bulkier,er
bulkily,ly
bulkiness,ness
bulldozer,er
bullfighter,er
bullheadedly,ly
bullheadedness,ness
bully,ly
bummer,er
bumper,er
bumpier,er
bumpily,ly
bumpiness,ness
bumptiously,ly
bumptiousness,ness
bungler,er
bunker,er
bunter,er
buoyantly,ly
burdensomeness,ness
bureaucratically,al;ly
bureaucratization,tion
burger,er
burgher,er
burglarize,ize
burgomaster,er
burial,al
burlier,er
burly,ly
burner,er
bushier,er
bushiness,ness
bushwhacker,er
busier,er
busily,ly
business,ness
busker,er
buster,er
busyness,ness
butcher,er
butler,er
butter,er
butterfly,ly
buyer,er
buzzer,er
bystander,er
cabal,al
cabdriver,er
cackler,er
cackly,ly
cadaver,er
cadger,er
cagier,er
cagily,ly
caginess,ness
calcify,ify
calcination,tion
calculable,able
calculably,ly
calculation,tion
calculator,or
calder,er
caliber,er
calibration,tion
caliper,er
callable,able
caller,er
calligrapher,er
calliper,er
callously,ly
callousness,ness
calmer,er
calmly,ly
calmness,ness
calorimeter,er
camber,er
campaigner,er
camper,er
camphor,or
canal,al
canalization,tion
cancellation,tion
cancer,er
cancerously,ly
candidly,ly
candlepower,er
candor,or
canister,er
canker,er
cannibal,al
cannibalize,al;ize
cannier,er
cannily,ly
canonical,al
canonization,tion
canonize,ize
cantankerously,ly
cantankerousness,ness
canter,er
cantilever,er
cantonment,ment
cantor,or
capable,able
capably,ly
capaciously,ly
capaciousness,ness
capacitor,or
caper,er
capital,al
capitalization,tion
capitalize,al;ize
capitation,tion
capitulation,tion
capriciously,ly
capriciousness,ness
capsize,ize
caption,tion
captivation,tion
captor,or
carbonation,tion
carbonization,tion
carbonize,ize
carburettor,or
cardinal,al
career,er
carefully,ly
carefulness,ness
careless,less
carelessly,less;ly
carelessness,less;ness
caressingly,ly
caretaker,er
carnal,al
carnally,al;ly
carnation,tion
carnival,al
caroller,er
carousal,al
carpal,al
carpenter,er
carpetbagger,er
carrier,er
carryover,er
carter,er
cartographer,er
carver,er
casement,ment
caseworker,er
cashable,able
cashier,er
caster,er
castigation,tion
castor,or
castration,tion
casual,al
casually,al;ly
casualness,al;ness
casuistical,al
casuistically,al;ly
catastrophically,al;ly
catcher,er
catchier,er
catchily,ly
catchment,ment
catechize,ize
categorical,al
categorically,al;ly
categorize,or;ize
cater,er
caterer,er;er
cathedral,al
catheter,er
cattier,er
cattily,ly
cattiness,ness
caudal,al
cauliflower,er
causal,al
causally,al;ly
causation,tion
causatively,ly
causeless,less
causelessly,less;ly
caustically,al;ly
cauterize,er;ize
caution,tion
cautiously,ly
cautiousness,ness
cavalier,er
cavalierly,er;ly
cavernously,ly
caviller,er
ceaseless,less
ceaselessly,less;ly
celebration,tion
celestial,al
censor,or
censorial,al
censoriously,ly
censoriousness,ness
centennial,al
center,er
centimeter,er
central,al
centralization,tion
centralize,al;ize
centrally,al;ly
centrifugal,al
centripetal,al
cereal,al
cerebral,al
cerebrally,al;ly
cerebration,tion
ceremonial,al
ceremonially,al;ly
ceremoniously,ly
ceremoniousness,ness
cerise,ise
certainly,ly
certifiable,able
certification,tion
certify,ify
cervical,al
cessation,tion
cession,sion
chaise,ise
chalkier,er
chalkiness,ness
challenger,er
challengingly,ly
chamber,er
chamfer,er
chancellor,or
chancier,er
chandelier,er
chandler,er
changeable,able
changeableness,able;ness
changeably,ly
changeless,less
chantilly,ly
chaotically,al;ly
chapelgoer,er
chapter,er
character,er
characteristically,al;ly
characterization,tion
characterize,er;ize
characterless,er;less
charcoal,al
chargeable,able
charger,er
charier,er
charily,ly
charioteer,er
charismatically,al;ly
charitable,able
charitably,ly
charles's,less
charmer,er
charmingly,ly
charter,er
chaser,er
chastely,ly
chaster,er
chastise,ise
chastisement,ise;ment
chatter,er
chatterer,er;er
chattier,er
chaucer,er
chauvinistically,al;ly
cheaper,er
cheaply,ly
cheapness,ness
checker,er
cheekier,er
cheekily,ly
cheer,er
cheerfully,ly
cheerfulness,ness
cheerier,er
cheerily,ly
cheeriness,ness
cheerleader,er
cheerless,er;less
cheerlessly,er;less;ly
cheerlessness,er;less;ness
chemical,al
chemically,al;ly
chemise,ise
chequer,er
cherubically,al;ly
chester,er
chestier,er
chestily,ly
chevalier,er
chicly,ly
chiefly,ly
childishly,ly
childishness,ness
childless,less
chiller,er
chillier,er
chilliness,ness
chilly,ly
chimerical,al
chimerically,al;ly
chimneysweeper,er
chinless,less
chipper,er
chiropractor,or
chirpier,er
chirpily,ly
chirpiness,ness
chiseller,er
chivalrously,ly
chlorination,tion
choicely,ly
choiceness,ness
choicer,er
choirmaster,er
choker,er
choler,er
cholerically,al;ly
choosier,er
chopper,er
choppier,er
choppiness,ness
choral,al
choreographer,er
chorister,er
chowder,er
christopher,er
chromatically,al;ly
chronically,al;ly
chronicler,er
chronological,al
chronologically,al;ly
chronometer,er
chrysler,er
chubbier,er
chubbiness,ness
chummier,er
chunkier,er
churchgoer,er
churlishly,ly
churlishness,ness
cider,er
cinder,er
cipher,er
circuitously,ly
circularize,ize
circulation,tion
circumcise,ise
circumcision,sion
circumferential,al
circumlocution,tion
circumnavigation,tion
circumscription,tion
circumspection,tion
circumspectly,ly
circumstantial,al
circumstantially,al;ly
circumvention,tion
citation,tion
civilization,tion
civilizational,tion;al
civilize,ize
civilly,ly
clamber,er
clammier,er
clammily,ly
clamminess,ness
clamor,or
clamorously,ly
clandestinely,ly
clandestineness,ness
clanger,er
clangorously,ly
clannishly,ly
clannishness,ness
clapper,er
clarification,tion
clarify,ify
classical,al
classically,al;ly
classier,er
classifiable,able
classification,tion
classify,ify
classless,less
classlessness,less;ness
clatter,er
cleaner,er
cleanlier,er
cleanliness,ness
cleanly,ly
cleanness,ness
cleanser,er
clearer,er
clearly,ly
clearness,ness
clearwater,er
cleaver,er
clement,ment
clerical,al
clever,er
cleverer,er;er
cleverly,er;ly
cleverness,er;ness
cliffhanger,er
climatical,al
climatically,al;ly
climber,er
clincher,er
clingier,er
clinical,al
clinically,al;ly
clinker,er
clipper,er
cliquishness,ness
clobber,er
clockwise,ise
cloddishness,ness
clodhopper,er
cloister,er
closely,ly
closeness,ness
closer,er
clothier,er
cloudier,er
cloudiness,ness
cloudless,less
clover,er
clownishly,ly
clownishness,ness
clubbable,able
clueless,less
clumsier,er
clumsily,ly
clumsiness,ness
cluster,er
clutter,er
coachbuilder,er
coadjutor,or
coagulation,tion
coalbunker,er
coalition,tion
coarsely,ly
coarseness,ness
coarser,er
coastal,al
coaster,er
coastwise,ise
coauthor,or
coaxial,al
coaxingly,ly
cobbler,er
cochineal,al
cockchafer,er
cocker,er
cockier,er
cockiness,ness
codger,er
codification,tion
codify,ify
coeducation,tion
coeducational,tion;al
coequal,al
coequally,al;ly
coercively,ly
coerciveness,ness
coffer,er
cogently,ly
cogitation,tion
cognition,tion
cohabitation,tion
coherently,ly
cohesion,sion
cohesively,ly
cohesiveness,ness
coincidental,al
coincidentally,al;ly
coiner,er
coital,al
coition,tion
colander,er
colder,er
coldly,ly
coldness,ness
collaboration,tion
collaborator,or
collapsible,ible
collateral,er;al
collation,tion
collectedly,ly
collectible,ible
collection,tion
collectively,ly
collectivization,tion
collectivize,ize
collector,or
collier,er
collision,sion
collocation,tion
colloidal,al
colloquial,al
colloquially,al;ly
collusion,sion
colonial,al
colonization,tion
colonize,ize
colonizer,er
color,or
coloration,tion
colorless,or;less
colossal,al
colourfastness,ness
colourless,less
colourlessly,less;ly
colourlessness,less;ness
coltishly,ly
coltishness,ness
comber,er
combinable,able
combination,tion
combinatorial,al
combustible,ible
combustion,tion
comelier,er
comeliness,ness
comely,ly
comer,er
comestible,ible
comfier,er
comfortable,able
comfortably,ly
comforter,er
comfortless,less
comical,al
comically,al;ly
commandeer,er
commander,er
commandment,ment
commemoration,tion
commencement,ment
commendable,able
commendably,ly
commendation,tion
commensurable,able
commensurably,ly
comment,ment
commentator,or
commercial,al
commercialization,tion
commercialize,al;ize
commercially,al;ly
commiseration,tion
commission,sion
commissioner,sion;er
commitment,ment
committal,al
commodiously,ly
commoner,er
commonly,ly
commonness,ness
commonweal,al
commotion,tion
communal,al
communicable,able
communicably,ly
communication,tion
communicational,tion;al
communicator,or
commutable,able
commutation,tion
commutator,or
commuter,er
compactly,ly
compactness,ness
companionable,able
comparable,able
comparably,ly
comparatively,ly
compartment,ment
compartmental,ment;al
compartmentalize,ment;al;ize
compassion,sion
compassionately,ly
compatible,ible
compatibly,ly
compeer,er
compellingly,ly
compendiously,ly
compensation,tion
competently,ly
competition,tion
competitively,ly
competitiveness,ness
competitor,or
compilation,tion
compiler,er
complacently,ly
complainer,er
complainingly,ly
complement,ment
completely,ly
completeness,ness
completion,tion
compliantly,ly
complicatedness,ness
complication,tion
compliment,ment
comply,ly
comportment,ment
composedly,ly
composer,er
composition,tion
compositional,tion;al
compositor,or
comprehensible,ible
comprehension,sion
comprehensively,ly
comprehensiveness,ness
compressible,ible
compression,sion
compressor,or
comprise,ise
compromise,ise
comptroller,er
compulsion,sion
compulsively,ly
compulsiveness,ness
compulsorily,ly
compunction,tion
computation,tion
computational,tion;al
computer,er
computerize,er;ize
comradely,ly
concatenation,tion
conceal,al
concealment,al;ment
conceitedly,ly
conceitedness,ness
conceivable,able
conceivably,ly
concentration,tion
conception,tion
conceptual,al
conceptualization,tion
conceptualize,al;ize
conceptually,al;ly
concernedly,ly
concertedly,ly
concertgoer,er
concertmaster,er
concession,sion
conciliation,tion
conciliator,or
concise,ise
concisely,ise;ly
conciseness,ise;ness
concision,sion
conclusion,sion
conclusively,ly
concoction,tion
concomitantly,ly
concretely,ly
concretion,tion
concurrently,ly
concussion,sion
condemnation,tion
condensation,tion
condenser,er
condescendingly,ly
condescension,sion
condiment,ment
condition,tion
conditional,tion;al
conditionally,tion;al;ly
conditioner,tion;er
condonation,tion
condor,or
conduciveness,ness
conduction,tion
conductor,or
confabulation,tion
confection,tion
confectioner,tion;er
confederation,tion
confer,er
conferment,er;ment
confessedly,ly
confession,sion
confessional,sion;al
confessor,or
confidential,al
confidentially,al;ly
confidently,ly
confidingly,ly
configuration,tion
confinement,ment
confirmation,tion
confiscation,tion
conflagration,tion
conflation,tion
conformable,able
conformably,ly
conformation,tion
conformational,tion;al
confoundedly,ly
confrontation,tion
confusedly,ly
confusingly,ly
confusion,sion
congeal,al
congenial,al
congenially,al;ly
congenital,al
congenitally,al;ly
conger,er
congestion,tion
conglomeration,tion
congratulation,tion
congregation,tion
congregational,tion;al
congressional,sion;al
congruously,ly
conical,al
conically,al;ly
conifer,er
conjectural,al
conjointly,ly
conjugal,al
conjugally,al;ly
conjugation,tion
conjunction,tion
conjurer,er
conker,er
connally,al;ly
connection,tion
connelly,ly
conniver,er
connor,or
connotation,tion
connubial,al
conquer,er
conqueror,er;or
conquistador,or
conscientiously,ly
conscientiousness,ness
conscionable,able
consciously,ly
consciousness,ness
conscription,tion
consecration,tion
consecutively,ly
consequential,al
consequentially,al;ly
consequently,ly
conservation,tion
conservatively,ly
consider,er
considerable,er;able
considerably,ly
considerately,ly
considerateness,ness
consideration,tion
consignment,ment
consignor,or
consistently,ly
consolable,able
consolation,tion
consolidation,tion
consonantal,al
